
2025-01-03;18:30;AGT Theorie/Unterweisung;Übungsdienst
2025-01-09;;Kommandositzung;Kommandositzung
2025-01-15;19:00;Funkpraxis;Übungsdienst
2025-02-01;;Jahreshauptversammlung;Feuerwehrinterne Veranstaltung
2025-02-07;18:30;Maschinistenausbildung;Übungsdienst
2025-02-19;19:00;AAO;Übungsdienst
2025-03-07;18:30;Erste Hilfe;Übungsdienst
2025-03-14;;Preisskat;Feuerwehrinterne Veranstaltung
2025-03-19;19:00;Verkehrsunfall / Licht;Übungsdienst
2025-04-04;18:30;Atemschutzüberwachung / Knoten;Übungsdienst
2025-04-10;;Kommandositzung;Kommandositzung
2025-04-16;19:00;Fahren mit Sonderrechten / Zusammenarbeit Polizei;Übungsdienst
2025-04-19;;Osterfeuer;Öffentliche Veranstaltung
2025-05-02;18:30;AGT Praxis / FwDV3;Übungsdienst
2025-05-14;19:00;Heben, Tragen, Umlagern;Übungsdienst
2025-06-06;18:30;Flächen- und Vegetationsbrand;Übungsdienst
2025-06-18;19:00;Ortsbegehung im Zugbereich;Übungsdienst
2025-07-04;18:30;Sommerübung, FwDV3;Übungsdienst
2025-07-16;19:00;Elektroauto / PV;Übungsdienst
2025-08-01;18:30;Maschinistenausbildung offenes Gewässer;Übungsdienst
2025-08-13;19:00;Personensuche;Übungsdienst
2025-09-04;;Kommandositzung;Kommandositzung
2025-09-05;;Stadtfeuerwehrtag;Feuerwehrinterne Veranstaltung
2025-09-17;19:00;AGT Theorie/Unterweisung;Übungsdienst
2025-09-13;;Halbjahresversammlung / Fördervereinsversammlung (unter Vorbehalt);Feuerwehrinterne Veranstaltung
2025-10-03;;Laternenumzug;Öffentliche Veranstaltung
2025-10-10;18:30;Argestorf Tierrettung;Übungsdienst
2025-10-15;19:00;AGT Praxis / FwDV3;Übungsdienst
2025-11-07;18:30;Funken / Löschmittel;Übungsdienst
2025-11-15;;Hydrantenschmieren/Wurstessen;Feuerwehrinterne Veranstaltung
2025-11-16;;Volkstrauertag;Öffentliche Veranstaltung
2025-11-19;19:00;Gefahren an der Einsatzstelle;Übungsdienst
2025-11-29;;Adventseinstimmung;Öffentliche Veranstaltung
2025-12-05;18:30;FwDV3 / Licht;Übungsdienst
2025-12-12;;Weihnachtsfeier;Feuerwehrinterne Veranstaltung
2025-12-19;19:00;Fahrzeug- und Gerätekunde;Übungsdienst
