2023-01-06;18:30;Erste Hilfe;Übungsdienst
2023-01-10;;Kommandositzung;Kommandositzung
2023-01-18;19:00;Funken oder Türöffnung;Übungsdienst
2023-02-03;18:30;AGT Theorie, Atemschutz Überwachung;Übungsdienst
2023-02-04;;Jahreshauptversammlung;Feuerwehrinterne Veranstaltung
2023-02-15;19:00;Funken oder Türöffnung;Übungsdienst
2023-03-03;18:30;AGT Praxis;Übungsdienst
2023-03-10;;Preisskat;Feuerwehrinterne Veranstaltung
2023-03-15;19:00;Tiefen- und Höhenrettung;Übungsdienst
2023-04-04;;Kommandositzung;Kommandositzung
2023-04-08;;Osterfeuer;Öffentliche Veranstaltung
2023-04-19;19:00;Maschinistenausbildung für alle;Übungsdienst
2023-05-05;18:30;Brennen und Löschen (Wald- und Flächenbrandbekämpfung);Übungsdienst
2023-05-17;19:00;FwDV3;Übungsdienst
2023-06-02;18:30;Heben, tragen, umlagern, Zusammenarbeit mit dem RD;Übungsdienst
2023-06-14;19:00;Innenangriff, Schlauchmanagement;Übungsdienst
2023-07-05;;AGT-Strecke Ronnenberg;AGT-Strecke
2023-07-07;18:30;Gebäude lesen, Baukunde;Übungsdienst
2023-07-19;19:00;Leitern und Leinen;Übungsdienst
2023-08-04;18:30;Objektbegehung im Zugbereich;Übungsdienst
2023-08-16;19:00;Tierrettung / Netzkanone;Übungsdienst
2023-09-01;18:30;Maschinistenausbildung, Löschangriff;Übungsdienst
2023-09-01;;Stadfeuerwehrtag;Feuerwehrinterne Veranstaltung
2023-09-05;;Kommandositzung;Kommandositzung
2023-09-13;19:00;Elektroautos/Ortsbegehung;Übungsdienst
2023-09-23;;Halbjahresversammlung;Feuerwehrinterne Veranstaltung
2023-10-06;18:30;AGT Theorie, Funken;Übungsdienst
2023-10-18;19:00;Zusammenarbeit mit Polizei;Übungsdienst
2023-10-26;;Laternenumzug;Öffentliche Veranstaltung
2023-11-03;18:30;Sicherheitsunterweisung und ggf. Physik;Übungsdienst
2023-11-14;;AGT-Strecke Ronnenberg;AGT-Strecke
2023-11-15;19:00;AGT Praxis;Übungsdienst
2023-11-18;;Hydrantenschmieren/Wurstessen;Feuerwehrinterne Veranstaltung
2023-11-19;;Volkstrauertag;Öffentliche Veranstaltung
2023-12-01;18:30;Gefahren an der Einsatzstelle / ABC;Übungsdienst
2023-12-02;;Adventseinstimmung;Öffentliche Veranstaltung
2023-12-13;19:00;Fahrzeug- und Gerätekunde;Übungsdienst
